"alpha_--sensitive_CILMV_FYW_AGPST_DEHKNQR_1.m8",223.631,179085,179361,14095
"alpha_--sensitive_M_W_C_KRQE_DNASTPGH_VILFY_1.m8",226.567,177930,178199,14085
"alpha_--sensitive_STQNGPAHRED_LIFVMYWCK_1.m8",1334.16,181254,181555,14123
"alpha_--sensitive_C_H_AG_FILMVWY_DEKNPQRST_1.m8",236.357,179467,179735,14097
"alpha_--sensitive_G_P_IVFYW_ALMEQRK_NDHSTC_1.m8",211.862,173028,173243,14016
"alpha_--sensitive_KREDQN_C_G_H_ILV_M_F_Y_W_P_STA_1.m8",204.877,173672,173916,14013
"alpha_--sensitive_A_R_N_D_C_E_Q_G_H_I_L_K_M_F_P_S_T_W_Y_V_1.m8",203.519,155577,155695,13836
"alpha_--more-sensitive_IVFYWLMC_AHT_ED_GP_KNQRS_1.m8",206.155,174234,174453,14036
"alpha_--more-sensitive_D_P_G_A_T_V_L_R_Y_1.m8",205.435,166770,166919,13937
"alpha_--more-sensitive_CILMV_FYW_AGPST_DEHKNQR_1.m8",224.028,179085,179361,14095
"alpha_--more-sensitive_M_W_C_KRQE_DNASTPGH_VILFY_1.m8",227.156,177930,178199,14085
"alpha_--more-sensitive_STQNGPAHRED_LIFVMYWCK_1.m8",2157.21,181254,181555,14123
"alpha_--more-sensitive_C_H_AG_FILMVWY_DEKNPQRST_1.m8",1176.97,179467,179735,14097
"alpha_--more-sensitive_G_P_IVFYW_ALMEQRK_NDHSTC_1.m8",1039.32,173028,173243,14016
"alpha_--more-sensitive_KREDQN_C_G_H_ILV_M_F_Y_W_P_STA_1.m8",1006.25,173672,173916,14013
"alpha_--more-sensitive_A_R_N_D_C_E_Q_G_H_I_L_K_M_F_P_S_T_W_Y_V_1.m8",1009.41,155577,155695,13836
"alpha__IVFYWLMC_AHT_ED_GP_KNQRS_2.m8",1025.51,174234,174453,14036
"alpha__D_P_G_A_T_V_L_R_Y_2.m8",1021.71,166770,166919,13937
"alpha__CILMV_FYW_AGPST_DEHKNQR_2.m8",1117.39,179085,179361,14095
"alpha__M_W_C_KRQE_DNASTPGH_VILFY_2.m8",1109.46,177930,178199,14085
"alpha__STQNGPAHRED_LIFVMYWCK_2.m8",6597.01,181254,181555,14123
"alpha__C_H_AG_FILMVWY_DEKNPQRST_2.m8",1197.22,179467,179735,14097
"alpha__G_P_IVFYW_ALMEQRK_NDHSTC_2.m8",1067.46,173028,173243,14016
"alpha__KREDQN_C_G_H_ILV_M_F_Y_W_P_STA_2.m8",1009.44,173672,173916,14013
"alpha__A_R_N_D_C_E_Q_G_H_I_L_K_M_F_P_S_T_W_Y_V_2.m8",1003.41,155577,155695,13836
"alpha_--sensitive_IVFYWLMC_AHT_ED_GP_KNQRS_2.m8",1019.83,174234,174453,14036
"alpha_--sensitive_D_P_G_A_T_V_L_R_Y_2.m8",1022.95,166770,166919,13937
"alpha_--sensitive_IVFYWLMC_AHT_ED_GP_KNQRS_0.m8",2108.77,181908,182209,14190
"alpha_--sensitive_D_P_G_A_T_V_L_R_Y_0.m8",3643.11,180615,180905,14165
"alpha_--sensitive_CILMV_FYW_AGPST_DEHKNQR_0.m8"
